date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2000-03-16,3.97477,33.514717,25.078384,13.104838,56.338779,23.887918,28.977768,28.334365,27.793304,87.119433,44.766479,83.959578,43.85326,26.269349,36.438098,16.118047,22.558042,29.616076,33.927971,32.598664,3.717093,21.11553,19.443604,17.634028,5.852313,20.544989,NA,24.407052,40.982063,26.683554
2000-03-17,4.087167,33.485575,26.750276,12.762623,57.762793,23.657203,28.46998,29.537948,27.968265,98.239942,45.994827,84.72985,45.540767,26.187064,36.791872,15.915559,22.392479,28.880404,32.753541,33.965842,3.535138,20.717806,18.712946,17.269186,5.796176,19.688948,NA,24.960563,41.826088,25.805255
2000-03-20,4.021772,33.106713,26.046322,12.400277,57.388404,23.550719,29.587115,31.644222,28.180717,95.657454,46.313288,86.848096,47.337852,26.10478,34.997757,15.733319,22.88917,29.25875,32.166326,33.282253,3.431163,20.247768,18.875315,17.066496,5.950557,20.229606,NA,24.934204,41.357185,25.052428
2000-03-21,4.412096,34.010147,25.738341,12.823014,60.269858,24.420338,29.214737,31.443622,30.092756,99.715649,46.222299,87.425799,48.543214,26.413347,37.196172,16.016803,23.344469,30.414806,33.373379,35.119399,3.44416,21.224,18.509986,17.877256,6.062832,20.45488,NA,24.828776,42.482551,25.763431
2000-03-22,4.714547,34.447302,25.518356,12.541189,61.774098,23.852423,28.233011,32.496759,30.167738,98.793287,45.903838,88.003503,50.515625,27.071623,37.019294,15.247348,23.344469,28.922442,33.634363,35.290297,3.509144,20.609335,18.509986,17.755642,5.943542,20.116969,NA,24.407052,41.544746,25.073339
2000-03-23,4.620542,36.370751,24.726407,12.742492,66.587664,24.029897,29.79023,33.349296,31.992293,100.348095,46.677243,88.773774,50.011564,26.331062,39.824169,15.227099,23.303079,29.25875,32.818787,38.238275,3.535138,20.392395,18.246137,18.323173,6.133,21.040592,NA,25.145064,40.513161,25.261546
2000-03-24,4.534712,36.283324,25.342367,12.722362,67.924765,24.313854,29.688672,33.248993,31.804838,102.298137,46.85922,92.913983,48.762371,23.780241,38.889207999999996,15.227099,23.054733,30.561941,32.231572,38.174189,3.522141,20.175455,18.327322,19.133933,6.448778,20.567517,NA,25.092347,41.638527,25.847079
2000-03-27,4.563322,35.088448,26.134316,12.58145,68.51309,24.012149,29.113179,33.499743,31.579892,94.445266,46.85922,97.728179,50.03348,22.957395000000002,38.282748,14.660133,23.013342,29.805249,31.905342,35.568005,3.736591,20.103141,17.941697,19.133933,6.259313,20.702681,NA,25.566783,41.591636,25.601362
2000-03-28,4.549017,35.554744,26.750276,12.339886,66.641148,24.100886,28.639243,32.847806,31.192488,95.499342,46.586254,94.358242,47.578925,23.697956,38.105861,14.53864,23.261688,29.889326,32.133703,35.653453,3.827564,20.283925,18.509986,19.458237,6.217214,20.837845,NA,25.514071,40.888283,26.432611
2000-03-29,4.444794,35.350739,26.662282,12.561319,65.09011,25.130232,28.639243,32.7475,32.592148,96.2899,49.86185,91.662292,46.242069,23.389389,36.539178,15.186602,24.379242,29.468942,33.406002,36.636113,4.055011,21.043216,19.057979,19.594046,6.252298,20.770263,NA,26.146649,44.076819,26.934496
2000-03-30,4.11169,34.738727,27.190248,13.124968,63.004231,26.177325,29.113179,32.296159,31.742359,90.123552,48.769985,94.55081,44.532646,23.286533,35.174644,15.733319,24.917324,29.931364,33.438625,35.333021,4.022521,21.11553,18.834723,21.35301,6.43119,22.121907,NA,25.830359,44.26438,26.30714
2000-03-31,4.440707,34.724163,26.618285,12.702232,66.159791,26.248314,28.673095,33.098546,31.117506,88.753252,46.950209,91.180872,46.263984,23.121964,35.250451,15.206851,24.75176,29.78423,32.427311,36.31568,4.119995,21.151686,18.428802,22.334758,6.697981,22.775202,NA,25.777643,42.38877,26.098021
2000-04-03,4.358964,36.254182,26.178313,13.487314,62.415907,26.212819,31.178182,33.549896,32.19225,88.964067,49.497895,93.973106,45.803755,23.780241,37.398331,15.976305,25.496796,30.898248,34.841416,31.060588,4.158986,21.983291,19.321827,22.252946,6.971801,22.302126,NA,26.594726,45.905538,26.934496
2000-04-04,4.162779,34.272441,26.266307,13.990572,62.576359,25.502926,31.415151,32.998252,30.792581,82.850423,47.041198,93.347261,46.548888,25.261363,35.256518,16.968496,25.517492,31.255575,35.330762,30.270188,4.048515,22.99568,20.620774,21.598447,6.824363,22.775202,NA,26.884661,45.014623,27.603676
2000-04-05,4.262915,33.689571,25.386364,13.668487,61.720614,24.846274,31.178182,32.095562,30.655121,82.165273,46.586254,96.28392,45.540767,25.508217,35.104112,15.429587,25.538187,30.646018,35.624369,29.522512,4.074508,22.344858,19.991597,21.393916,6.740111,21.986743,NA,26.647443,43.701697,26.683554
2000-04-06,4.093298,32.873564,25.430361,13.628226,61.453193,25.254463,30.534986,32.446606,31.367449,89.385698,47.99658,94.55081,45.518851,24.644229,35.535934,14.822123,24.503415,31.40271,34.221578,29.394339,4.321444,22.200232,20.377221,21.107573,6.929679,22.166962,NA,27.65941,45.858648,27.352734
2000-04-07,4.307874,32.421842,25.122381,13.326272,64.127397,24.54457,29.79023,32.897956,31.754853,86.434283,46.677243,94.839661,47.973407,24.376804,35.104112,14.963865,24.503415,30.814172,34.188955,30.441085,4.464413,22.453329,20.600478,20.862136,6.936698,21.964215,NA,27.420737,46.139989,26.620818
