date,ticker,price
2000-04-28,VZ,25.748666
2000-05-01,VZ,24.890376
2000-05-02,VZ,23.602941
2000-05-03,VZ,23.790694
2000-05-04,VZ,23.093335
2000-05-05,VZ,23.146976
2000-05-08,VZ,23.37496
2000-05-09,VZ,23.16039
2000-05-10,VZ,23.012868
2000-05-11,VZ,23.488951
2000-05-12,VZ,22.744654
2000-05-15,VZ,23.629763
2000-05-16,VZ,23.710227
2000-05-17,VZ,23.281085
2000-05-18,VZ,23.120154
2000-05-19,VZ,22.583723
2000-05-22,VZ,22.449615
2000-05-23,VZ,21.8059
2000-05-24,VZ,22.127758
2000-05-25,VZ,21.725433
2000-05-26,VZ,22.1814
2000-05-30,VZ,22.556901
2000-05-31,VZ,22.691009
2000-06-01,VZ,22.965931
2000-06-02,VZ,23.012868
2000-06-05,VZ,22.744654
2000-06-06,VZ,23.200621
2000-06-07,VZ,23.200621
2000-06-08,VZ,23.442016
2000-06-09,VZ,23.146976
2000-06-12,VZ,23.093335
2000-06-13,VZ,23.790694
2000-06-14,VZ,24.622159
2000-06-15,VZ,24.273478
2000-06-16,VZ,23.629763
2000-06-19,VZ,24.461231
2000-06-20,VZ,24.648981
2000-06-21,VZ,24.380764
2000-06-22,VZ,24.970839
2000-06-23,VZ,24.622159
2000-06-26,VZ,23.817513
2000-06-27,VZ,23.012868
2000-06-28,VZ,22.577019
2000-06-29,VZ,22.100936
2000-06-30,VZ,21.8059
2000-07-03,VZ,23.783143
2000-07-05,VZ,23.539906
2000-07-06,VZ,23.289756
2000-07-07,VZ,23.965997
2000-07-10,VZ,23.668448
2000-07-11,VZ,22.74876
2000-07-12,VZ,22.559415
2000-07-13,VZ,22.288916
2000-07-14,VZ,21.42333
2000-07-17,VZ,21.42333
2000-07-18,VZ,21.125781
2000-07-19,VZ,20.341342
2000-07-20,VZ,19.151155
2000-07-21,VZ,20.774134
2000-07-24,VZ,21.09873
2000-07-25,VZ,21.017582
2000-07-26,VZ,20.341342
2000-07-27,VZ,20.341342
2000-07-28,VZ,20.341342
2000-07-31,VZ,20.233143
2000-08-01,VZ,20.747084
2000-08-02,VZ,20.720039
2000-08-03,VZ,20.774134
2000-08-04,VZ,20.314291
2000-08-07,VZ,20.720039
2000-08-08,VZ,18.393767
2000-08-09,VZ,17.474081
2000-08-10,VZ,18.231467
2000-08-11,VZ,17.960971
2000-08-14,VZ,18.393767
2000-08-15,VZ,18.177372
2000-08-16,VZ,18.069173
2000-08-17,VZ,17.636375
2000-08-18,VZ,18.366716
2000-08-21,VZ,18.529016
2000-08-22,VZ,18.069173
2000-08-23,VZ,17.528176
2000-08-24,VZ,18.015072
2000-08-25,VZ,18.664262
2000-08-28,VZ,18.961811
2000-08-29,VZ,18.556063
2000-08-30,VZ,19.151155
2000-08-31,VZ,18.833323
2000-09-01,VZ,19.070009
2000-09-05,VZ,18.826561
2000-09-06,VZ,18.447864
2000-09-07,VZ,18.880663
2000-09-08,VZ,19.178206
2000-09-11,VZ,19.502802
2000-09-12,VZ,19.421654
2000-09-13,VZ,18.77246
2000-09-14,VZ,18.826561
2000-09-15,VZ,19.259354
2000-09-18,VZ,18.77246
2000-09-19,VZ,18.907709
